ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,PAY_AMT3,default payment next month
1,20000,Female,University,Married,24,2,2,-1,3913,3102,0,689,0,1
2,120000,Female,University,Single,26,-1,2,0,2682,1725,0,1000,1000,1
3,90000,Female,University,Single,34,0,0,0,29239,14027,1518,1500,1000,0
4,50000,Female,University,Married,37,0,0,0,46990,48233,2000,2019,1200,0
5,50000,Male,University,Married,57,-1,0,-1,8617,5670,2000,36681,10000,0
6,50000,Male,Graduate,Single,37,0,0,0,64400,57069,2500,1815,657,0
7,500000,Male,Graduate,Single,29,0,0,0,367965,412023,55000,40000,38000,0
8,100000,Female,University,Single,23,0,-1,-1,11876,380,380,601,0,0
9,140000,Female,High_School,Married,28,0,0,2,11285,14096,3329,0,432,0
10,20000,Male,High_School,Single,35,-2,-2,-2,0,0,0,0,0,0
11,200000,Female,High_School,Single,34,0,0,2,11073,9787,2306,12,50,0
12,260000,Female,Graduate,Single,51,-1,-1,-1,12261,21670,21818,9966,8583,0
13,630000,Female,University,Single,41,-1,0,-1,12137,6500,1000,6500,6500,0
14,70000,Male,University,Single,30,1,2,2,65802,67369,3200,0,3000,1
15,250000,Male,Graduate,Single,29,0,0,0,70887,67060,3000,3000,3000,0
16,50000,Female,High_School,Single,23,1,2,0,50614,29173,0,1500,1100,0
17,20000,Male,Graduate,Single,24,0,0,2,15376,18010,3200,0,1500,1
18,320000,Male,Graduate,Married,49,0,0,0,253286,246536,10358,10000,75940,0
19,360000,Female,Graduate,Married,49,1,-2,-2,0,0,0,0,0,0
20,180000,Female,Graduate,Single,29,1,-2,-2,0,0,0,0,0,0
21,130000,Female,High_School,Single,39,0,0,0,38358,27688,3000,1537,1000,0
22,120000,Female,University,Married,39,-1,-1,-1,316,316,316,316,0,1
23,70000,Female,University,Single,26,2,0,0,41087,42445,2007,3582,0,1
24,450000,Female,Graduate,Married,40,-2,-2,-2,5512,19420,19428,1473,560,1
25,90000,Male,Graduate,Single,23,0,0,0,4744,7070,5757,0,5398,0
26,50000,Male,High_School,Single,23,0,0,0,47620,41810,1973,1426,1001,0
27,60000,Male,Graduate,Single,27,1,-2,-1,-109,-425,0,1000,0,1
28,50000,Female,High_School,Single,30,0,0,0,22541,16138,1300,1300,1000,0
29,50000,Female,High_School,Married,47,-1,-1,-1,650,3415,3415,3421,2044,0
30,50000,Male,Graduate,Single,26,0,0,0,15329,16575,1500,1500,1000,0
31,230000,Female,Graduate,Single,27,-1,-1,-1,16646,17265,17270,13281,15339,0
32,50000,Male,University,Single,33,2,0,0,30518,29618,1718,1500,1000,1
33,100000,Male,Graduate,Single,32,0,0,0,93036,84071,3023,3511,3302,0
34,500000,Female,University,Married,54,-2,-2,-2,10929,4152,4152,22827,7521,0
35,500000,Male,Graduate,Married,58,-2,-2,-2,13709,5006,5006,31178,3180,0
36,160000,Male,Graduate,Single,30,-1,-1,-2,30265,-131,131,396,396,0
37,280000,Male,University,Married,40,0,0,0,186503,181328,8026,8060,6300,0
38,60000,Female,University,Single,22,0,0,0,15054,9806,1500,1518,2043,0
39,50000,Male,Graduate,Single,25,1,-1,-1,0,780,780,0,0,1
40,280000,Male,Graduate,Single,31,-1,-1,2,498,9075,9075,0,9976,0
41,360000,Male,Graduate,Single,33,0,0,0,218668,221296,10000,7000,6000,0
42,70000,Female,Graduate,Single,25,0,0,0,67521,66999,3000,4500,4042,0
43,10000,Male,University,Single,22,0,0,0,1877,3184,1500,2927,1000,0
44,140000,Female,University,Married,37,0,0,0,59504,61544,3000,3000,3000,0
45,40000,Female,Graduate,Single,30,0,0,0,18927,21295,3000,5000,0,0
46,210000,Male,Graduate,Single,29,-2,-2,-2,0,0,0,0,0,1
47,20000,Female,Graduate,Single,22,0,0,2,14028,16484,3000,0,16741,1
48,150000,Female,Other,Single,46,0,0,-1,4463,3034,1013,1170,0,1
49,380000,Male,University,Single,32,-1,-1,-1,22401,21540,21540,15138,24677,0
50,20000,Male,Graduate,Single,24,0,0,0,17447,18479,1318,1315,704,0
51,70000,Male,High_School,Single,42,1,2,2,37042,36171,0,3100,2000,1
52,100000,Female,High_School,Single,43,0,0,0,61559,51163,2000,1606,1500,0
53,310000,Female,University,Married,49,-2,-2,-2,13465,7867,7875,7600,11185,0
54,180000,Female,Graduate,Single,25,1,2,0,41402,41742,1300,2010,1762,0
55,150000,Female,Graduate,Single,29,2,0,0,46224,34993,1600,1718,1049,0
56,500000,Female,Graduate,Married,45,-2,-2,-2,1905,3640,3640,162,0,0
57,180000,Female,High_School,Married,34,0,0,0,16386,15793,8500,1500,7500,0
58,180000,Female,University,Married,34,0,0,0,175886,173440,8083,7296,5253,0
59,200000,Female,Graduate,Single,34,-1,3,2,1587,1098,0,0,700,0
60,400000,Female,University,Married,29,0,0,0,400134,398857,17000,15029,30000,0
61,500000,Female,High_School,Married,28,0,0,0,22848,23638,1516,1300,1000,1
62,70000,Male,University,Married,39,0,0,0,70800,72060,4025,2095,1000,0
63,50000,Male,Graduate,Single,29,2,2,2,24987,24300,0,2700,0,1
64,50000,Female,University,Married,46,0,0,0,28718,29166,1000,0,0,1
65,130000,Female,University,Married,51,-1,-1,-2,99,0,0,0,0,0
66,200000,Male,Graduate,Married,57,-2,-2,-2,152519,148751,0,0,8222,1
67,10000,Male,University,Married,56,2,2,2,2097,4193,2300,0,150,1
68,210000,Female,Graduate,Single,30,2,-1,-1,300,300,300,1159,2280,0
69,130000,Female,High_School,Single,29,1,-2,-2,-190,-9850,0,0,20161,0
70,20000,Male,Other,Single,22,2,0,0,18565,17204,0,1200,1000,0
71,80000,Male,Graduate,Single,31,-1,-1,-1,780,0,0,390,390,0
72,320000,Male,University,Single,29,2,2,2,58267,59246,2500,2500,0,1
73,200000,Female,University,Married,32,-1,-1,-1,9076,5787,5818,15,9102,0
74,290000,Female,Graduate,Single,37,1,-2,-1,0,0,0,3155,0,0
75,340000,Male,Graduate,Single,32,-1,-1,-1,3048,5550,5713,23453,4314,0
76,20000,Male,University,Single,24,0,0,2,14619,17216,2850,0,610,0
77,50000,Male,High_School,Single,25,-1,0,0,42838,37225,1759,1779,320,0
78,300000,Female,Graduate,Married,45,-1,-1,-1,291,291,291,291,291,0
79,30000,Female,University,Single,22,0,0,0,28387,29612,1686,1400,560,1
80,240000,Female,University,Single,44,1,-2,-2,0,0,0,0,0,1
81,470000,Female,High_School,Single,33,0,0,0,165254,157784,6400,7566,3000,0
82,360000,Female,Graduate,Single,26,0,0,0,23411,27796,4796,3400,3100,0
83,60000,Male,High_School,Single,30,0,0,0,26324,27471,1576,1213,648,1
84,400000,Female,University,Married,44,0,0,2,131595,139060,10700,3,3050,0
85,50000,Female,High_School,Single,49,0,0,0,48909,47863,1676,1302,700,0
86,160000,Male,University,Single,33,0,0,0,130028,107808,4400,3547,80000,0
87,360000,Female,Graduate,Married,45,-1,-1,2,390,1170,1170,0,0,1
88,160000,Female,University,Single,32,0,0,0,3826,4751,1147,2000,2000,0
89,130000,Female,Graduate,Married,35,0,0,0,81313,117866,40000,5000,1330,0
90,20000,Male,High_School,Single,44,2,2,0,8583,8303,0,1651,1000,0
91,200000,Male,Graduate,Married,53,2,2,2,138180,140774,6300,5500,5500,1
92,280000,Female,Graduate,Single,39,-1,-1,-1,7524,0,0,3968,0,0
93,100000,Female,Graduate,Single,27,-2,-2,-2,-2000,5555,7555,0,0,0
94,160000,Female,University,Married,37,-1,-1,-1,880,1602,1602,840,840,0
95,60000,Female,University,Single,23,0,0,0,45648,46850,1937,1301,682,0
96,90000,Male,University,Single,35,0,0,0,83725,85996,3621,3597,1179,0
97,360000,Male,Graduate,Married,43,-1,-1,-1,3967,8322,8339,3394,12902,0
98,150000,Male,Graduate,Single,27,0,0,0,86009,86108,4031,10006,3266,0
99,50000,Female,High_School,Married,22,0,0,0,18722,18160,1411,1194,379,0
100,20000,Male,University,Married,38,0,0,0,17973,19367,1699,1460,626,1
101,140000,Male,Graduate,Single,32,-2,-2,-2,672,10212,10212,850,415,0
102,380000,Female,Graduate,Single,30,-2,-2,-1,-81,-303,223,33178,1171,0
103,480000,Male,Graduate,Married,63,0,0,0,422069,431342,16078,55693,17000,0
104,50000,Female,High_School,Single,22,0,0,0,44698,42254,1767,1362,1002,1
105,60000,Female,University,Single,26,2,2,2,56685,55208,0,5000,2511,0
106,70000,Female,University,Single,24,-1,-1,-2,5580,0,0,0,0,0
107,80000,Female,University,Married,36,-1,-1,-1,6108,2861,2861,3279,3319,0
108,350000,Male,Graduate,Single,52,-1,-1,-1,713,2272,2272,722,867,0
109,130000,Male,University,Single,38,0,0,0,171438,178382,10908,0,133657,0
110,360000,Male,University,Married,35,1,-2,-2,-103,-103,0,0,0,0
111,330000,Female,Graduate,Married,31,0,0,2,105879,108431,9260,0,3593,0
112,50000,Male,High_School,Married,47,0,0,2,13244,14722,2000,1000,1000,0
113,280000,Male,University,Married,41,2,2,2,135673,138532,6500,0,14254,0
114,100000,Female,Graduate,Single,24,0,0,0,52128,52692,2000,2677,3076,0
115,50000,Male,University,Single,41,0,0,0,19015,19294,1340,1305,700,0
116,30000,Male,Graduate,Single,24,-1,2,0,18199,17618,0,1312,3000,1
117,240000,Male,Graduate,Single,28,-1,-1,-1,326,326,326,326,5676,0
118,80000,Male,University,Single,26,2,0,0,14029,15493,2000,1700,1000,1
119,400000,Male,University,Married,34,-1,-1,-1,19660,9666,9677,11867,7839,0
120,240000,Female,University,Single,38,0,0,0,50254,51445,2000,3000,3000,0
